"분류","지점명","채수위치","조사일","수온(℃)","pH","DO(㎎/L)","투명도","탁도","Chl-a (㎎/㎥)","유해남조류 세포수 (cells/㎖)","Microcystis","Anabaena","Oscillatoria","Aphanizomenon","지오스민","2MIB","Microcystin-LR (μg/L)"
"하천","백제보","부여","2021.01.04","","","","","","","","","","","","","정량한계미만",""
"하천","백제보","부여","2021.01.11","","","","","","","","","","","","","",""
"하천","백제보","부여","2021.01.19","","","","","","","","","","","","","",""
"하천","백제보","부여","2021.01.25","","","","","","","","","","","","","",""
"하천","백제보","부여","2021.02.01","4.2","7.6","15.2","1.6","3.9","17.3","0","0","0","0","0","15","정량한계미만",""
"하천","백제보","부여","2021.02.08","4.7","7.9","14.9","1.8","6.5","17.7","0","0","0","0","0","15","정량한계미만",""
"하천","백제보","부여","2021.02.15","6.8","8.0","14.7","1.7","4.6","25.3","0","0","0","0","0","17","정량한계미만",""
"하천","백제보","부여","2021.02.22","5.8","8.0","16.0","1.7","3.8","19.5","0","0","0","0","0","28","정량한계미만",""
"하천","백제보","부여","2021.03.02","5.8","8.0","16.0","0.7","14.7","19.2","0","0","0","0","0","32","정량한계미만",""
"하천","백제보","부여","2021.03.08","9.9","7.5","10.5","1.2","7.4","20.0","0","0","0","0","0","18","정량한계미만",""
"하천","백제보","부여","2021.03.15","12.1","7.9","14.0","1.0","5.4","66.7","0","0","0","0","0","30","정량한계미만",""
"하천","백제보","부여","2021.03.22","12.8","8.6","14.1","0.5","11.3","82.6","0","0","0","0","0","13","정량한계미만",""
"하천","백제보","부여","2021.03.29","13.0","8.4","12.6","0.8","6.7","77.5","0","0","0","0","0","16","정량한계미만",""
"하천","백제보","부여","2021.04.05","15.0","7.9","9.9","0.7","6.6","53.2","0","0","0","0","0","10","정량한계미만",""
"하천","백제보","부여","2021.04.12","16.9","9.0","13.3","0.5","9.2","124.0","0","0","0","0","0","11","정량한계미만",""
"하천","백제보","부여","2021.04.19","15.9","9.4","16.9","0.6","9.9","162.8","0","0","0","0","0","21","정량한계미만",""
"하천","백제보","부여","2021.04.26","18.9","9.0","17.5","0.7","8.8","151.0","0","0","0","0","0","29","정량한계미만",""
"하천","백제보","부여","2021.05.03","16.5","8.8","16.4","0.6","9.4","103.4","0","0","0","0","0","7","정량한계미만",""
"하천","백제보","부여","2021.05.10","17.7","9.7","15.4","0.6","13.1","176.1","0","0","0","0","0","4","정량한계미만",""
"하천","백제보","부여","2021.05.17","20.7","8.4","9.6","0.5","17.2","147.6","0","0","0","0","0","8","13",""
"하천","백제보","부여","2021.05.24","21.0","7.7","11.2","0.6","8.5","73.3","0","0","0","0","0","5","정량한계미만",""
"하천","백제보","부여","2021.05.31","20.6","7.5","8.9","0.6","11.9","22.3","0","0","0","0","0","2","9",""
"하천","백제보","부여","2021.06.07","22.7","8.5","13.9","0.9","9.6","79.9","0","0","0","0","0","3","정량한계미만",""
"하천","백제보","부여","2021.06.14","25.5","8.6","13.2","0.7","12.5","134.3","0","0","0","0","0","2","9",""
"하천","백제보","부여","2021.06.21","23.8","9.3","15.0","0.5","7.0","92.1","0","0","0","0","0","3","7",""
"하천","백제보","부여","2021.06.28","26.3","9.3","18.0","0.7","9.4","185.1","0","0","0","0","0","8","4",""
"하천","백제보","부여","2021.07.05","26.3","9.3","18.0","0.3","42.1","44.5","0","0","0","0","0","3","3",""
"하천","백제보","부여","2021.07.12","20.7","7.2","8.6","0.7","17.0","17.5","0","0","0","0","0","3","2",""
"하천","백제보","부여","2021.07.19","26.1","8.8","16.1","0.8","10.2","113.4","320","0","320","0","0","23","정량한계미만",""
"하천","백제보","부여","2021.07.26","31.3","8.5","11.6","0.9","11.4","141.8","10600","10600","0","0","0","4","49",""
"하천","백제보","부여","2021.08.02","29.7","8.7","7.5","0.6","10.8","138.8","5980","5670","310","0","0","35","64",""
"하천","백제보","부여","2021.08.09","29.7","8.7","7.5","0.6","10.6","85.5","3800","3750","50","0","0","35","5",""
"하천","백제보","부여","2021.08.17","27.1","8.9","13.2","0.8","11.4","127.7","3630","3360","270","0","0","2","정량한계미만",""
"하천","백제보","부여","2021.08.23","25.1","7.5","7.6","0.7","13.2","91.0","1090","780","200","0","110","8","9",""
"하천","백제보","부여","2021.08.30","22.5","7.5","6.5","0.5","36.1","5.3","0","0","0","0","0","3","정량한계미만",""
"하천","백제보","부여","2021.09.06","22.9","7.6","9.3","0.9","12.9","12.8","630","630","0","0","0","6","4",""
"하천","백제보","부여","2021.09.13","25.7","8.2","9.9","0.9","4.3","47.5","1820","980","0","0","840","9","4",""
"하천","백제보","부여","2021.09.23","22.7","7.5","7.9","0.9","12.4","32.3","0","0","0","0","0","3","정량한계미만",""
"하천","백제보","부여","2021.09.27","22.6","7.5","9.7","1.3","3.3","26.6","0","0","0","0","0","4","2",""
"하천","백제보","부여","2021.10.05","23.9","8.3","10.8","1.1","7.0","64.8","0","0","0","0","0","3","10",""
"하천","백제보","부여","2021.10.12","21.4","7.8","9.4","1.2","5.1","39.2","0","0","0","0","0","5","12",""
"하천","백제보","부여","2021.10.18","16.8","8.0","11.5","1.1","4.5","29.3","0","0","0","0","0","2","8",""
"하천","백제보","부여","2021.10.25","14.7","8.1","12.1","2.2","2.1","10.7","0","0","0","0","0","2","6",""
"하천","백제보","부여","2021.11.01","15.2","8.2","11.9","1.9","1.9","10.9","0","0","0","0","0","3","3",""
"하천","백제보","부여","2021.11.08","14.8","7.8","10.6","2.1","1.6","11.4","0","0","0","0","0","정량한계미만","정량한계미만",""
"하천","백제보","부여","2021.11.15","11.0","7.6","11.7","2.3","1.3","5.8","110","0","0","0","110","3","9",""
"하천","백제보","부여","2021.11.22","12.0","8.0","11.6","2.4","1.5","6.3","0","0","0","0","0","2","정량한계미만",""
"하천","백제보","부여","2021.11.29","8.1","8.3","12.1","2.4","2.0","5.1","0","0","0","0","0","3","정량한계미만",""
"하천","백제보","부여","2021.12.06","5.8","7.6","14.0","2.5","2.8","4.0","0","0","0","0","0","1","정량한계미만",""
"하천","백제보","부여","2021.12.13","7.5","8.3","11.9","2.4","2.2","6.5","0","0","0","0","0","3","정량한계미만",""
"하천","백제보","부여","2021.12.27","2.8","8.1","13.8","3.4","2.3","4.7","0","0","0","0","0","2","정량한계미만",""
